Name,Latitude,Longitude,Local_type
Colegio Príncipes de Asturias,40.457047,-3.806624,Schools
Colegio Alameda de Osuna,40.455258,-3.594886,Schools
"Colegio Cortes de Cádiz, Sanchinarro",40.498712,-3.655559,Schools
Santa Maria la Blanca,40.511141,-3.697142,Schools
Colegio Estudiantes las Tablas,40.508844,-3.679331,Schools
Colegio Público Gabriela Mistral,40.507731,-3.667536,Schools
Cp Carmen Conde,40.34251,-3.833862,Schools
Colegio Highlands Encinar,40.503931,-3.638563,Schools
C.P. Mario Benedetti,40.371036,-3.549353,Schools
Colegio Suizo de Madrid,40.521048,-3.653859,Schools
Colegio Base,40.509711,-3.611135,Schools
Irlandesas,40.523553,-3.640994,Schools
Colegio Virgen de Europa,40.430662,-3.890661,Schools
Colegio Santa Teresa,40.262233,-3.85462,Schools
Colegio Público la Encina,40.519778,-3.902543,Schools
Colegio Peñalar,40.579944,-3.936899,Schools
Hospital Universitario Puerta de Hierro Majadahonda,40.450117,-3.873997,Schools
Instituto Cervantes,40.419262,-3.695219,Schools
Polideportivo Ignacio Pinedo,40.314781,-3.723937,Schools
O2 Centro Wellness,40.427403,-3.668743,Schools
Universidad Carlos III - Campus Puerta de Toledo,40.406908,-3.709672,Schools
Instituto San Isidro,40.412616,-3.707359,Schools
Real Academia Española,40.415065,-3.69094,Schools
Universidad de Nebrija,40.42942,-3.713065,Schools
Universidad Pontificia Comillas,40.429908,-3.711328,Schools
IE Business School MM31,40.437816,-3.682419,Schools
IMF Institucion Academica,40.402208,-3.698502,Schools
IE University,40.43784,-3.682256,Schools
Santiago Bernabéu Stadium (Estadio Santiago Bernabéu),40.453026,-3.688322,Others
Palacio de Deportes de la Comunidad de Madrid (Wizink Center),40.42391,-3.671763,Others
Estadio Wanda Metropolitano,40.436206,-3.599501,Others
Palco de Honor,40.453372,-3.688411,Others
Vestuario Real Madrid,40.453025,-3.68811,Others
Estadio de Vallecas,40.391834,-3.658721,Others
Players Tunnel,40.45313,-3.68786,Others
Estadio Municipal de Butarque,40.340386,-3.760622,Others
Club de Pádel y Tenis Fuencarral,40.502423,-3.707415,Others
La Caja Mágica,40.366489,-3.687457,Others
Planet Padel Indoor,40.452527,-3.483384,Others
Campos de Futbol Fuentelucha,40.550183,-3.658614,Others
Network Padel,40.454819,-3.46802,Others
Centro Deportivo Municipal Santa Ana,40.49778,-3.694044,Others
Coliseum Alfonso Pérez,40.32573,-3.714935,Others
Campo de Rugby Puerta de Hierro,40.462301,-3.748858,Others
Padel Sport Home,40.596702,-3.523787,Others
Estadio Antiguo Canódromo,40.397437,-3.735642,Others
Polideportivo el Carrascal Pabellón Europa,40.332473,-3.745591,Others
Vip Area Champions League,40.453227,-3.688688,Others
Palacio Vistalegre,40.386257,-3.73901,Others
CD San Roque,40.467535,-3.595061,Others
Madrid Arena,40.413185,-3.737794,Others
Estadio Román Valero,40.388474,-3.705205,Others
Corbacho Tenis,40.406525,-3.724734,Others
Santiago Bernabeo,40.41678,-3.70379,Others
Real Federacion Española de Hockey,40.413715,-3.719987,Others
Santiago Bernabéu,40.413371,-3.692157,Others
Club de Esgrima Cardenal Cisneros,40.423768,-3.70874,Others
Estadio Alfredo Di Stéfano,40.47635,-3.614373,Others
El estado mental,40.423138,-3.692819,Others
Pabellón Salesianos San Miguel Da Bosco,40.410079,-3.737948,Others
Pabellón Satélite,40.413763,-3.737977,Others
Campo de las Adelfas,40.403223,-3.668915,Others
Pista 4,40.370491,-3.685705,Others
Pista 5,40.369569,-3.684477,Others
Club de Tenis Coslada,40.434024,-3.540581,Others
Campo de Rugby el Cantizal,40.438976,-3.707437,Others
Módulo CSD,40.434143,-3.735791,Others
Estadio Nacional Universidad Complutense,40.436645,-3.732078,Others
