Name,Latitude,Longitude,Local_type
Escola Eb1 Massamá,38.757955,-9.273788,Schools
Centro de Formação Profissional do Seixal,38.627738,-9.126288,Schools
Agrupamento de Escolas de São Bruno,38.707791,-9.274264,Schools
Escola Secundária Augusto Cabrita,38.657876,-9.05893,Schools
Escola Básica José Cardoso Pires,38.655897,-9.238172,Schools
Colégio Bartolomeu Dias,38.850307,-9.079663,Schools
Forus Escola de Condução,38.620941,-9.12882,Schools
Escola Aquilino Ribeiro,38.73404,-9.304667,Schools
Creche Chuxinhas,38.8593,-9.080123,Schools
Escola Secundária Luís de Freitas Branco,38.697155,-9.298352,Schools
Colégio da Torre,38.697499,-9.298466,Schools
"Escola Básica de Foros de Amora, Seixal",38.610079,-9.133645,Schools
"Escola Eb 2, 3 D. Martinho Vaz de Castelo Branco",38.86381,-9.071615,Schools
Colégio Vasco da Gama,38.794225,-9.312014,Schools
Escola Secundária Leal da Câmara,38.782613,-9.318381,Schools
Escola Secundária Sebastião e Silva,38.686044,-9.31724,Schools
Escola Secundária de Carcavelos,38.699141,-9.336012,Schools
Colégio Marista de Carcavelos,38.692315,-9.343434,Schools
Escola Basica Ferreira de Castro,38.797062,-9.351586,Schools
Cais,38.768873,-9.380564,Schools
Liceu de São João do Estoril,38.701904,-9.383595,Schools
Escola Secundária Ibn Mucana,38.735003,-9.405335,Schools
Colegio Salesianos Estoril,38.705218,-9.40238,Schools
Colegio Amor de Deus,38.714278,-9.417862,Schools
Externato Nossa Senhora do Rosario,38.69776,-9.438038,Schools
Escola Basica dos 2 e 3 Ciclos Hermenegildo Capelo,38.575114,-8.900326,Schools
Escola Secundária Artística António Arroio,38.736625,-9.127273,Schools
Instituto Português de Oncologia de Francisco Gentil,38.739775,-9.161241,Schools
Universidade de Lisboa,38.752939,-9.157813,Schools
Hospital VET Escolar Faculdade Medicina Veterinária,38.714727,-9.194585,Schools
Parque da Fonte Luminosa,38.737068,-9.132833,Others
Parque Eduardo VII,38.727874,-9.152194,Others
Jardim do Campo Grande,38.756776,-9.153793,Others
Estufa Fria,38.729568,-9.154986,Others
Parque da Quinta das Conchas,38.771248,-9.155848,Others
Baía dos Golfinhos,38.742436,-9.170831,Others
Jardim das Amoreiras,38.722251,-9.156472,Others
Parque da Serafina,38.733674,-9.17815,Others
Parque Florestal de Monsanto,38.720852,-9.192971,Others
Anfiteatro Keil do Amaral,38.72021,-9.19403,Others
Parque do Tejo,38.777562,-9.092096,Others
Mata de Benfica - Parque Silva Porto,38.749056,-9.204695,Others
Parque da Bela Vista,38.749865,-9.124538,Others
Passeio do Tejo,38.780835,-9.090983,Others
Parque José Gomes Ferreira,38.754598,-9.141906,Others
Praça da Alegria,38.717635,-9.145494,Others
Tapada das Necessidades,38.708877,-9.170716,Others
Jardim da Torre de Belém,38.699208,-9.181407,Others
Parque Oeste - Alta de Lisboa,38.780372,-9.150839,Others
Parque da Paz,38.659039,-9.165192,Others
Parque Urbano do Jamor,38.704785,-9.25539,Others
Reptilário,38.743229,-9.172541,Others
Parque Urbano Francisco Caldeira Cabral,38.711601,-9.224868,Others
Jardim Professor Francisco Caldeira Cabral em Lisboa,38.759951,-9.165572,Others
Campo dos Mártires da Pátria,38.721625,-9.139935,Others
KidZania,38.776182,-9.221156,Others
Mata S.Domingos Benfica,38.74718,-9.186505,Others
Terreiro dos Radicais - Skate Park,38.787045,-9.092202,Others
Passeio das Tágides,38.770807,-9.092327,Others
Parque Bensaúde,38.753583,-9.177232,Others
Poets' Park (Parque dos Poetas),38.702053,-9.30247,Others
Leões Marinhos,38.744165,-9.171229,Others
Parque da Cidade do Barreiro,38.649588,-9.056476,Others
Parque da Cidade,38.825622,-9.161822,Others
Parque Recreativo dos Moinhos de Santana,38.705859,-9.204928,Others
Parque Urbano Quinta de Santo António,38.709313,-9.229153,Others
Jardim Municipal de Oeiras,38.68882,-9.315005,Others
Jardim Urbano da Costa de Caparica,38.650563,-9.237679,Others
Parque Catarina Eufémia,38.661037,-9.07894,Others
Pena Park (Parque da Pena),38.787771,-9.38766,Others
"Parque Vale do Silêncio, Olivais Sul",38.767258,-9.114806,Others
Parque da Liberdade,38.796421,-9.386283,Others
Parque Marechal Carmona,38.694177,-9.422922,Others
Jardim Almeida Garrett,38.781892,-9.10968,Others
Parque Morais,38.688574,-9.356091,Others
Paço de Arcos Garden (Jardim de Paço de Arcos),38.693971,-9.292388,Others
Quinta da Atalaia,38.631685,-9.119147,Others
Parque de Odivelas,38.787749,-9.176278,Others
Quinta da Granja de Cima,38.752591,-9.193549,Others
Jardim Quinta da Alagoa,38.6937,-9.33851,Others
Estádio Universitário de Lisboa,38.753594,-9.163212,Others
Sport Lisboa e Benfica (Estádio do Sport Lisboa e Benfica),38.752634,-9.184581,Others
MEO Arena,38.76853,-9.09403,Others
José Alvalade Stadium (Estádio José Alvalade),38.761731,-9.160683,Others
Pavilhão João Rocha - Sporting Clube Portugal,38.763959,-9.159621,Others
Parque de Jogos 1º de Maio - INATEL,38.75155,-9.137661,Others
Bancada Emirates,38.752595,-9.184855,Others
Centro de Ténis do Jamor,38.708189,-9.252795,Others
Pavilhão Fidelidade,38.751774,-9.183412,Others
Praça de Toiros da Moita,38.654767,-8.98896,Others
Campo Treinos SLB,38.753245,-9.182461,Others
Portekiz Lizbon,38.711041,-9.139777,Others
Agronomia Rugby,38.716709,-9.1904,Others
Pavilhão Paz e Amizade,38.829147,-9.164914,Others
Cidade do Futebol,38.70486,-9.274866,Others
Praça de Touros de Alcochete,38.755837,-8.955771,Others
Pavilhão Municipal Casal Vistoso,38.743198,-9.128561,Others
Estádio do Restelo,38.702511,-9.207896,Others
Estádio António Coimbra da Mota,38.715941,-9.406128,Others
Praça de Touros Palha Blanco,38.94998,-8.991133,Others
Praça de Touros do Montijo,38.707861,-8.964666,Others
Pavilhão Desportivo da Ajuda,38.705777,-9.183925,Others
Parque Desportivo Carlos Queiroz,38.723542,-9.226409,Others
Pavilhão do Clube Atlético de Campo de Ourique,38.718702,-9.161957,Others
Estádio Pinto Basto,38.713603,-9.210574,Others
Atlético Clube de Portugal,38.709367,-9.181868,Others
Sport Futebol Palmense,38.749098,-9.169976,Others
Pavilhão Municipal do Alto do Moinho,38.634365,-9.159562,Others
Estádio Nacional,38.70884,-9.260676,Others
Estádio Municipal de Oeiras,38.700422,-9.304213,Others
Pavilhão Mun. Torre da Marinha,38.616946,-9.100318,Others
Campo de Honra - Estádio Universitário de Lisboa,38.750971,-9.162083,Others
Indoor Padel Center,38.717733,-9.221641,Others
FC Alverca - Complexo Desportivo,38.898044,-9.036105,Others
Vitoria Clube de Lisboa,38.734595,-9.121308,Others
CDUL Rugby - Campo 4,38.756459,-9.16307,Others
Cit Padel Amoreiras,38.725959,-9.164393,Others
Pavilhão dos Loios,38.759829,-9.123221,Others
Maria Pia Sport Clube,38.719015,-9.130496,Others
Campo Eng. Carlos Salema,38.743866,-9.108905,Others
Tasco do Operário Futebol Clube de Lisboa,38.721869,-9.121192,Others
Pista de Atletismo da Sobreda,38.646031,-9.175478,Others
Caco,38.727227,-9.172913,Others
Clube Oriental de Lisboa,38.743491,-9.108343,Others
Clube Ferroviário de Portugal,38.739059,-9.107937,Others
Campo dos Pupilos do Exército,38.748413,-9.184634,Others
Saint Benedict Stadium,38.711199,-9.154379,Others
Bancada Setor 3 Red Power,38.752111,-9.184505,Others
Sector 41,38.752622,-9.18463,Others
Piso 0 - Sector 24 Estadio da Luz,38.753414,-9.184646,Others
By The Wine - José Maria da Fonseca,38.709083,-9.143729,Bar
Grapes & Bites,38.712044,-9.143872,Bar
Cinco Lounge,38.714204,-9.149793,Bar
Foxtrot,38.714001,-9.152002,Bar
Graça do Vinho,38.714859,-9.130835,Bar
Topo,38.716759,-9.136538,Bar
Cockpit Bar,38.744704,-9.141055,Bar
Gin Lovers Principe Real,38.716874,-9.148352,Bar
Casa Independente,38.720821,-9.134548,Bar
Taproom Oitava Colina,38.718439,-9.131838,Bar
Damas,38.716516,-9.129279,Bar
Senhor Uva,38.714364,-9.15685,Bar
Fábrica da Musa,38.738841,-9.102962,Bar
BacoAlto,38.711292,-9.143668,Bar
Rocco,38.709586,-9.140484,Bar
Farès,38.708504,-9.146296,Bar
Quiosque Ribeira das Naus,38.705556,-9.14156,Bar
Rubro Avenida,38.722197,-9.146165,Bar
Pensão Amor,38.707219,-9.143596,Bar
Time Out Market Lisboa,38.707049,-9.145948,Bar
Ground Burger,38.73541,-9.154459,Bar
Tapa Bucho,38.714233,-9.145118,Bar
O Purista - Barbière,38.712114,-9.142319,Bar
Da Prata 52,38.709676,-9.136264,Bar
Restaurante Laurentina - O Rei do Bacalhau,38.73707,-9.151371,Bar
À Parte,38.733559,-9.14277,Bar
Cervejaria Ramiro,38.720278,-9.135726,Bar
Café da Garagem,38.715509,-9.132756,Bar
Mercado da Ribeira,38.706902,-9.145768,Bar
A Tasquinha do Lagarto,38.734531,-9.164548,Bar
LX Factory,38.703404,-9.178763,Bar
Forno d'Oro,38.723484,-9.154295,Bar
Casa Nepalesa,38.73864,-9.151451,Bar
Yes! Lisbon Hostel,38.709181,-9.137808,Bar
Frankie,38.753114,-9.152892,Bar
JNcQUOI,38.720303,-9.144972,Bar
Taberna Sal Grosso,38.713698,-9.124194,Bar
Miradouro de São Pedro de Alcântara,38.715135,-9.144277,Bar
Go Juu,38.736119,-9.152153,Bar
Restaurante Frade dos Mares,38.708403,-9.153135,Bar
Clube de Jornalistas,38.710071,-9.159376,Bar
Restaurante Belcanto,38.709859,-9.141401,Bar
Fumeiro de Santa Catarina,38.70987,-9.149197,Bar
Calouste Gulbenkian Foundation (Fundação Calouste Gulbenkian),38.737389,-9.154629,Bar
EPIC SANA Lisboa Hotel,38.72447,-9.158473,Bar
Largo do Chiado,38.710674,-9.142195,Bar
Jardim Zoológico de Lisboa,38.743107,-9.169216,Bar
Praça do Comércio,38.707826,-9.136661,Bar
Memmo Alfama,38.710165,-9.130516,Bar
Gula's for Kitchen Lover's,38.737275,-9.141893,Bar
