Name,Latitude,Longitude,Local_type
Escola Paco Candel,41.360372,2.121489,Schools
IES Ausiàs March,41.386343,2.105883,Schools
Highlands School Barcelona,41.382313,2.094364,Schools
The American School Of Barcelona,41.383986,2.084527,Schools
Autoescuela Requena,41.365944,2.073002,Schools
Escola bressol Font Freda,41.489958,2.189365,Schools
Stucom,41.385784,2.165148,Schools
Europa International School,41.469677,2.094243,Schools
Mas Rampinyo,41.498073,2.17865,Schools
Federacion Catalana de Tenis,41.348861,2.069561,Schools
Escola Oficial d'Idiomes,41.476755,2.089846,Schools
Facultat de Medicina UAB,41.498351,2.105458,Schools
Facultat de Dret UAB,41.500883,2.105536,Schools
Escola Thau,41.492569,2.069768,Schools
Col.legi la Vall,41.510766,2.091411,Schools
Sant Nicolau,41.545653,2.112793,Schools
Escola de Municipal de Música,41.550744,2.245053,Schools
Bon Soleil,41.27267,2.000048,Schools
Escola Lluís Vives,41.275788,1.976248,Schools
EPS Centro de Formacion de la Motocicleta,41.427478,2.17115,Schools
Hospital Universitari Germans Trias i Pujol,41.480877,2.237717,Schools
Biblioteca Poblenou-Manuel Arranz,41.401412,2.204491,Schools
Biblioteca Xavier Benguerel,41.392655,2.19771,Schools
Metropolitan Gran Vía,41.346641,2.109578,Schools
CEM Parc de la Ciutadella,41.385579,2.18636,Schools
Residencia Campus del Mar,41.382625,2.191039,Schools
Biblioteca Joan Miró,41.378639,2.149179,Schools
Camp Nou,41.380922,2.122783,Others
Palau Sant Jordi,41.363205,2.152591,Others
Olympic Stadium Lluís Companys (Estadi Olímpic Lluís Companys),41.36476,2.155625,Others
Palau Blaugrana,41.380163,2.120141,Others
RCDE Stadium,41.347733,2.075446,Others
Padel Indoor Hospitalet,41.358233,2.10882,Others
Pàdel Augusta,41.485018,2.058962,Others
Pista Coberta de Catalunya,41.536402,2.124229,Others
Ciutat Esportiva Joan Gamper FCBarcelona,41.377292,2.050366,Others
Plaza de Toros Monumental (Plaça de Bous Monumental),41.40006,2.181206,Others
Parc de la Ciutadella,41.388545,2.171217,Others
Parc del Poblenou,41.397117,2.207435,Others
Parc del Guinardó,41.419553,2.17135,Others
Jardins del Teatre Grec,41.369578,2.159119,Others
Jardins del Palau Robert,41.396003,2.158932,Others
Parc de Montjuïc,41.362557,2.154415,Others
Jardines de Joan Brossa,41.368267,2.167415,Others
Jardins del Mirador,41.367574,2.169399,Others
Parc del Turó del Putxet,41.40732,2.143153,Others
Parc del Clot,41.407833,2.190267,Others
Collage Art & Cocktails Social Club,41.382565,2.181517,Bar
Old Fashioned,41.398037,2.159761,Bar
Paradiso,41.383693,2.183671,Bar
Kӕlderkold,41.381708,2.173324,Bar
Can Cisa,41.384839,2.179958,Bar
La Vinya del Senyor,41.383284,2.181806,Bar
Viblioteca,41.402844,2.157227,Bar
La Rovira,41.407459,2.15806,Bar
Tandem Cocktail Bar,41.389615,2.157902,Bar
Senyor Vermut,41.385903,2.149395,Bar
Perikete,41.381289,2.183356,Bar
Bodega Sopena,41.407881,2.188106,Bar
Chulapio,41.379282,2.165844,Bar
La Vicoca - Bar de Vins,41.374218,2.144304,Bar
Two Schmucks,41.383166,2.165252,Bar
Zim,41.383062,2.178304,Bar
Bodega Armando,41.3799,2.164802,Bar
Mosquito Sunset Club,41.361856,2.099593,Bar
Bloody Mary Cocktail Lounge,41.398333,2.159158,Bar
El Chigre 1769,41.38631,2.18309,Bar
Orvay,41.384081,2.182587,Bar
14 de la Rosa,41.399322,2.159734,Bar
Blavis,41.403394,2.147339,Bar
Hotel Arts Ritz Club Lounge,41.386653,2.196624,Bar
Tirsa Bcn Cocktail Bar,41.382545,2.147317,Bar
Fat Schmuck,41.381243,2.166841,Bar
Bodega la General,41.376872,2.134959,Bar
Bar Andalucía,41.40301,2.207488,Bar
Cervecería Catalana,41.392376,2.160808,Bar
Ciutat Comtal,41.388858,2.166857,Bar
La Micro Cerveseria,41.546741,2.10317,Bar
Companyia d'Alella,41.493118,2.293319,Bar
El Xampanyet,41.384569,2.18178,Bar
La Pepita,41.398016,2.161031,Bar
Vinitus,41.389977,2.164035,Bar
La Flauta,41.386876,2.161108,Bar
El Nacional,41.390683,2.16846,Bar
Quimet & Quimet,41.37392,2.165612,Bar
La Tasqueta de Blai,41.373432,2.165364,Bar
Tlaxcal,41.385021,2.184269,Bar
Casa Lolea Barcelona,41.388833,2.177238,Bar
Elsa y Fred,41.389795,2.17976,Bar
Chivuo's,41.40495,2.153926,Bar
Bar Cañete,41.379099,2.173131,Bar
El Pachuco,41.376494,2.1691,Bar
Chivuo's,41.382918,2.170022,Bar
Sensi,41.380318,2.180076,Bar
La Cervecita Nuestra de Cada Día,41.400385,2.201558,Bar
W Barcelona,41.368526,2.19014,Bar
Can Dendê,41.39836,2.198345,Bar
